PDB ID,Asym. Chain ID,Auth. Chain ID,AF3 MONOMERS TM Score,AF3 MONOMERS INF_WC,AF3 MONOMERS INF_NWC,NU MONOMERS TM Score,NU MONOMERS INF_WC,NU MONOMERS INF_NWC,RF2NA MONOMERS TM Score,RF2NA MONOMERS INF_WC,RF2NA MONOMERS INF_NWC,RHO MONOMERS TM Score,RHO MONOMERS INF_WC,RHO MONOMERS INF_NWC,TRRNA MONOMERS TM Score,TRRNA MONOMERS INF_WC,TRRNA MONOMERS INF_NWC
7PS8,A,A,0.0967,-1.0,0.0,0.11613,-1.0,0.0,0.13648,-1.0,-1.0,0.10365,-1.0,-1.0,0.10482,-1.0,0.0
7QSH,A,A,0.68675,0.9128709291752768,1.0,0.75887,1.0,0.7071067811865476,0.55743,1.0,0.5,0.71884,0.4472135954999579,0.0,0.48133,0.9128709291752768,0.3535533905932738
7SXP,A,A,0.12973,-1.0,0.0,0.1324,-1.0,-1.0,0.09283,-1.0,-1.0,0.09022,-1.0,-1.0,0.11613,-1.0,0.0
7U4A,A,A,0.27978,0.8,0.3535533905932738,0.57177,0.8728715609439694,0.0,0.60762,0.8573214099741123,1.0,0.42079,0.665640235470275,0.0,0.55938,0.7211102550927979,0.0
7WIA,A,V,0.34397,0.97182531580755,0.4472135954999579,0.42752,0.9428090415820634,-1.0,0.36551,0.9128709291752768,0.4472135954999579,0.39308,0.7453559924999299,0.2581988897471611,0.68424,0.8498365855987975,0.0
7XD4,A,N,0.56686,0.7445453821540743,0.2253744679276044,0.7146,0.8289697003848391,0.4296689244236597,0.4845,0.650516096306267,0.1290994448735805,0.5177,0.214373231428136,0.0456435464587638,0.52344,0.6488501182745438,0.0
7YR6,E,A,0.29027,0.7154547587901781,0.0,0.242,0.7945521577046603,0.0,0.26134,0.7758098206022831,0.0,0.24222,0.2010075630518424,0.0,0.37558,0.8081352297940448,0.0
7ZJ4,A,E,0.21836,0.8811039019443198,0.0,0.30738,0.7053182019711879,0.0,0.2386,0.6835796266645046,0.0,0.13876,0.0368542303598373,0.0,0.24039,0.785829391971155,0.0
7ZTA,AB,ATR1,0.6214,1.0,0.0,0.53876,0.9746794344808964,0.3535533905932738,0.5983,1.0,0.5,0.61279,0.5916079783099616,0.0,0.60957,0.8677218312746247,0.0
8APO,ED,C2,0.39543,0.8451542547285166,-1.0,0.37368,0.8451542547285166,-1.0,0.3901,1.0,-1.0,0.4123,0.7745966692414834,-1.0,0.46986,0.8,-1.0
